params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",62.17396653387186,100,-0.04175600000000001,-0.0425,-0.0486,-0.028399999999999998,0.0040357482577584045
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",59.24680511801671,100,-0.04401187439613526,-0.04415,-0.0496,-0.0373,0.0026441280667460747
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",62.725229923602456,100,-0.048270999999999994,-0.048799999999999996,-0.0561,-0.0347,0.0038980070548935643
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",62.10564884613268,100,-0.04654899999999999,-0.0465,-0.0537,-0.0381,0.0030613884105091917
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",61.81007933166438,100,-0.046570512016718905,-0.04615,-0.05489999999999999,-0.0339,0.003693706831162684
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",62.1541360859992,100,-0.04401618556701031,-0.04445,-0.0523,-0.0253,0.0036741365809210167
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",61.32353940948087,100,-0.044990174846617104,-0.04525,-0.05126582278481012,-0.0345,0.002930454479853463
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",62.361725662936806,100,-0.04340786642084974,-0.04335,-0.051399999999999994,-0.03621346886912325,0.0027304527966577037
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",62.00811123781932,100,-0.04336629092254016,-0.044066048144433295,-0.04959999999999999,-0.0328,0.003252899070165149
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",61.33299094269205,100,-0.04340738219747444,-0.04345,-0.0508,-0.0256,0.0035277902092699406
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",58.68183940292147,100,-0.0432386470188748,-0.04345,-0.0482,-0.035199999999999995,0.0025283121008123815
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",62.74102361754922,100,-0.048460159516671,-0.0486,-0.05485714285714285,-0.03923705722070845,0.002366216642366155
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",62.49103684066904,100,-0.046602,-0.046700000000000005,-0.055200000000000006,-0.0411,0.0024044117783774063
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",63.27298936296938,100,-0.04158099999999999,-0.0418,-0.04769999999999999,-0.0321,0.003488801943361073
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",61.97484081127186,100,-0.046005000000000004,-0.0461,-0.051699999999999996,-0.041199999999999994,0.002161174449228937
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",62.240336367951386,100,-0.04433999999999999,-0.0443,-0.04959999999999999,-0.039299999999999995,0.0023163764806265843
