params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",16.184711111863407,100,-0.08949315878044187,-0.08899147727272727,-0.12500000000000003,-0.06806722689075627,0.009154785037072876
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",19.25733389469883,100,-0.08153880598463145,-0.08138793641900226,-0.12142857142857144,-0.05485714285714285,0.01013557215224586
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",15.506429257015725,100,-0.07980165133924691,-0.07908650997432354,-0.1176470588235294,-0.04333333333333334,0.010694447894858381
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",18.687271460417833,100,-0.0812005642823486,-0.08071007774397604,-0.13333333333333336,-0.05826086956521738,0.008886733535488073
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",19.615636709072533,100,-0.08366063123689477,-0.08254834254143645,-0.15000000000000002,-0.04776119402985073,0.011464660013838515
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",18.142435212003647,100,-0.08553543318961361,-0.08472186618815686,-0.14210526315789473,-0.044000000000000004,0.014263275485631907
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",18.698588687638903,100,-0.07872294164871337,-0.07748581847649919,-0.11851851851851852,-0.05471698113207548,0.009629089747997026
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",16.608512092278488,100,-0.08274601088504303,-0.08049725313424425,-0.13076923076923078,-0.04347826086956524,0.01363804573581122
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",4.994423017114059,100,-0.09697878270886001,-0.09425282509698094,-0.19,-0.052173913043478286,0.015084209954006925
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",10.579238926607104,100,-0.0879010032787501,-0.08875000000000002,-0.12432432432432435,-0.05,0.011127511940981463
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",8.350873184289412,100,-0.08887855844341468,-0.08860840707964601,-0.11702127659574464,-0.05999999999999999,0.008721548795457825
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",10.26345390702636,100,-0.08473912905176961,-0.08261074556808182,-0.14500000000000002,-0.06283783783783785,0.013134637366374291
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",9.010800996635226,100,-0.0896937997190485,-0.08923333333333333,-0.1375,-0.04117647058823531,0.011818084280257182
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",11.393271089465088,100,-0.09093831441671325,-0.09120000000000002,-0.136,-0.06747967479674795,0.008447239942613649
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",8.445366301567446,100,-0.0958266547397675,-0.09572460479540124,-0.12083333333333333,-0.05714285714285716,0.007779263972885601
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",9.817654239755257,100,-0.08978855149608195,-0.0901,-0.13000000000000003,-0.05869565217391306,0.007684239842182741
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",7.897882255701916,100,-0.08288412580210178,-0.08245625,-0.12250000000000001,-0.05340314136125652,0.011536782408559087
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.428989732512264,100,-0.08759945497642006,-0.08320545609548166,-0.19,-0.05294117647058823,0.02468314522697265
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",24.431509530166522,100,-0.0846620103725361,-0.08360961365678346,-0.13333333333333336,-0.05102040816326531,0.010435532576218633
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",24.658009225858677,100,-0.0843113254818327,-0.08284453781512605,-0.13157894736842105,-0.06354166666666666,0.010427238604325291
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",23.828351567133723,100,-0.07722352826897488,-0.07638897637795275,-0.125,-0.03548387096774195,0.01181474719431627
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",23.559678230372583,100,-0.07675392243645651,-0.07629476650563607,-0.11052631578947371,-0.04285714285714287,0.010291498174632473
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",23.77606699996022,100,-0.08420167375562176,-0.08260041880830002,-0.12962962962962965,-0.051162790697674425,0.012773249462845943
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",23.02911625131992,100,-0.07474978975703508,-0.07576244147881574,-0.09824561403508772,-0.041610738255033544,0.010345740056867888
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",23.537733846460924,100,-0.07784240968732908,-0.077810989010989,-0.12666666666666668,-0.04545454545454548,0.01350211290712862
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",23.12991591506443,100,-0.0798749114503648,-0.07902115768463074,-0.10192307692307691,-0.05869565217391306,0.007748598602574658
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",7.237274246088418,100,-0.08056882216783333,-0.07892871766238599,-0.13333333333333336,-0.056557377049180325,0.011644415872409114
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",18.88050566619495,100,-0.08569550709934685,-0.0851568442311223,-0.12571428571428572,-0.03928571428571429,0.011233731475750748
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",19.007743811403998,100,-0.08321656830593664,-0.08254037953138015,-0.13913043478260873,-0.05542168674698795,0.009889697739368907
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",18.169858198792554,100,-0.08594406281808707,-0.08559523293607801,-0.128,-0.054639175257731945,0.010134545621474134
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",20.084355744934328,100,-0.09357298326553415,-0.09294496487119436,-0.1375,-0.04347826086956524,0.009544518601926578
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",19.0018924928645,100,-0.0806973985571531,-0.07892212545752872,-0.13684210526315793,-0.055555555555555546,0.011765419271895575
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",19.065655433009397,100,-0.07773807579315854,-0.07423711573236888,-0.16000000000000003,-0.05352112676056335,0.015321221381489605
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",18.640128394727526,100,-0.08027928351809648,-0.07894468085106382,-0.15000000000000002,-0.05964912280701755,0.011002954472975912
"{""alpha"": 0.5, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",16.326245036040746,100,-0.08892215653850644,-0.0874689054726368,-0.11739130434782606,-0.07417840375586852,0.007179101807155819
